timestamp,x,y,z,yaw,linear_vel,angular_vel
2025-11-24T06:43:54.205418,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.240193,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.260738,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.288403,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.315504,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.340841,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.356486,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.365515,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.376799,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.387873,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.396474,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.416937,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.436831,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.459501,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.481984,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.505112,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.530619,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.544887,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.569582,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.590440,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.597925,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.605147,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.614622,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.620434,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.632615,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.638721,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.645831,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.658377,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.665714,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.674370,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.684698,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.692984,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.701299,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.711855,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.735253,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.783728,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.834561,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.861100,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.877091,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.917949,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.957498,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.969549,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.980146,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.988064,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:54.996202,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.002274,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.010022,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.027669,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.035203,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.042449,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.050696,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.058070,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.067750,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.081089,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.090177,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.120789,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.162815,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.194165,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.217926,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.228942,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.236723,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.246096,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.258578,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.270252,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.289647,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.303855,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.322082,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.340718,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.358351,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.374743,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:55.383415,-1.500,-3.000,1.270,0.000,0.000,0.000
